ID	Label	logical type	Subclass part of	Equivalent	Evquivalent part of	SuperClass Label	Status	Approved by
ID	A IAO:0000589	CLASS_TYPE	C part_of some % and (part_of some NCBITaxon:10090)	C % and (part_of some NCBITaxon:10090)	C part_of some %	>A rdfs:label	A oboInOwl:status	>A oboInOwl:source
http://purl.obolibrary.org/obo/MBA_ENTITY	MBA entity	equivalent		http://purl.obolibrary.org/obo/UBERON_0001062		anatomical entity	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1	"tuberomammillary nucleus, ventral part"	equivalent		http://purl.obolibrary.org/obo/UBERON_0014594		tuberomammillary nucleus ventral part	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_100	interpeduncular nucleus	equivalent		http://purl.obolibrary.org/obo/UBERON_0002145		interpeduncular nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1000	extrapyramidal fiber systems	equivalent		http://purl.obolibrary.org/obo/UBERON_0035803		extrapyramidal tract system	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1002	primary auditory area	subclass	http://purl.obolibrary.org/obo/UBERON_0034751			primary auditory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1004	ventral premammillary nucleus	equivalent		http://purl.obolibrary.org/obo/UBERON_0007768		ventral premammillary nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1004	ventral premammillary nucleus	equivalent		http://purl.obolibrary.org/obo/UBERON_0007768		ventral premammillary nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1005	"primary auditory area, layer 6b"	subclass	http://purl.obolibrary.org/obo/UBERON_0034751			primary auditory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1006	"primary somatosensory area, trunk, layer 1"	subclass	http://purl.obolibrary.org/obo/UBERON_0008933			primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1007	simple lobule	equivalent		http://purl.obolibrary.org/obo/UBERON_0005350		lobule simplex	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1008	"geniculate group, dorsal thalamus"	equivalent		http://purl.obolibrary.org/obo/UBERON_0002704		metathalamus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_1008	"geniculate group, dorsal thalamus"	equivalent		http://purl.obolibrary.org/obo/UBERON_0002704		metathalamus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_101	ventral cochlear nucleus	equivalent		http://purl.obolibrary.org/obo/UBERON_0002828		ventral cochlear nucleus	Verified	https://ror.org/03cpe7c52
